flag,start_time,target_buy_volume,target_sell_volume,target_num,trade_price,trade_volume,trade_num
0,2018-09-07 12:00:00,20.53,20.00,5,-1.0,0.00,0
0,2018-09-07 13:00:00,20.82,20.00,5,-1.0,0.00,0
0,2018-09-07 14:00:00,22.23,20.00,6,-1.0,0.00,0
0,2018-09-07 15:00:00,22.07,20.00,6,-1.0,0.00,0
0,2018-09-07 16:00:00,22.41,20.00,6,-1.0,0.00,0
0,2018-09-07 17:00:00,22.39,20.00,6,-1.0,0.00,0
0,2018-09-07 18:00:00,22.32,20.00,6,-1.0,0.00,0
0,2018-09-07 19:00:00,22.28,20.00,6,-1.0,0.00,0
0,2018-09-07 20:00:00,21.37,20.00,5,-1.0,0.00,0
0,2018-09-07 21:00:00,22.16,20.00,6,-1.0,0.00,0
0,2018-09-07 22:00:00,21.80,20.00,6,-1.0,0.00,0
0,2018-09-07 23:00:00,21.37,20.00,6,-1.0,0.00,0
0,2018-09-08 00:00:00,38.22,20.00,6,-1.0,0.00,0
0,2018-09-08 01:00:00,21.22,20.00,5,-1.0,0.00,0
0,2018-09-08 02:00:00,21.48,20.00,5,-1.0,0.00,0
0,2018-09-08 03:00:00,36.81,20.00,6,-1.0,0.00,0
0,2018-09-08 04:00:00,21.59,20.00,5,-1.0,0.00,0
0,2018-09-08 05:00:00,21.88,20.00,5,-1.0,0.00,0
0,2018-09-08 06:00:00,22.37,20.00,5,-1.0,0.00,0
0,2018-09-08 07:00:00,22.17,20.00,5,-1.0,0.00,0
0,2018-09-08 08:00:00,22.39,20.00,5,-1.0,0.00,0
0,2018-09-08 09:00:00,21.12,20.00,5,-1.0,0.00,0
0,2018-09-08 10:00:00,21.38,20.00,5,-1.0,0.00,0
0,2018-09-08 11:00:00,21.40,20.00,5,-1.0,0.00,0
0,2018-09-08 12:00:00,22.30,20.00,5,-1.0,0.00,0
0,2018-09-08 13:00:00,25.29,20.00,6,-1.0,0.00,0
0,2018-09-08 14:00:00,22.96,20.00,5,-1.0,0.00,0
0,2018-09-08 15:00:00,23.13,20.00,5,-1.0,0.00,0
0,2018-09-08 16:00:00,24.29,20.00,5,-1.0,0.00,0
0,2018-09-08 17:00:00,26.21,20.00,6,-1.0,0.00,0
0,2018-09-08 18:00:00,26.42,20.00,6,-1.0,0.00,0
0,2018-09-08 19:00:00,25.32,20.00,6,-1.0,0.00,0
0,2018-09-08 20:00:00,23.02,20.00,5,-1.0,0.00,0
0,2018-09-08 21:00:00,23.32,20.00,6,-1.0,0.00,0
0,2018-09-08 22:00:00,22.56,20.00,6,-1.0,0.00,0
0,2018-09-08 23:00:00,22.27,20.00,6,-1.0,0.00,0
0,2018-09-09 00:00:00,43.34,20.00,6,-1.0,0.00,0
0,2018-09-09 01:00:00,21.03,20.00,5,-1.0,0.00,0
0,2018-09-09 02:00:00,21.11,20.00,5,-1.0,0.00,0
0,2018-09-09 03:00:00,45.55,20.00,6,-1.0,0.00,0
0,2018-09-09 04:00:00,21.17,20.00,5,-1.0,0.00,0
0,2018-09-09 05:00:00,20.93,20.00,5,-1.0,0.00,0
0,2018-09-09 06:00:00,21.34,20.00,5,-1.0,0.00,0
0,2018-09-09 07:00:00,21.80,20.00,5,-1.0,0.00,0
0,2018-09-09 08:00:00,21.91,20.00,5,-1.0,0.00,0
0,2018-09-09 09:00:00,21.18,20.00,5,-1.0,0.00,0
0,2018-09-09 10:00:00,21.21,20.00,5,-1.0,0.00,0
0,2018-09-09 11:00:00,21.17,20.00,5,-1.0,0.00,0
0,2018-09-09 12:00:00,21.90,20.00,5,-1.0,0.00,0
0,2018-09-09 13:00:00,22.95,20.00,5,-1.0,0.00,0
0,2018-09-09 14:00:00,22.55,20.00,5,-1.0,0.00,0
0,2018-09-09 15:00:00,23.99,20.00,6,-1.0,0.00,0
0,2018-09-09 16:00:00,24.83,20.00,6,-1.0,0.00,0
0,2018-09-09 17:00:00,25.18,20.00,6,-1.0,0.00,0
0,2018-09-09 18:00:00,25.21,20.00,6,-1.0,0.00,0
0,2018-09-09 19:00:00,25.28,20.00,6,-1.0,0.00,0
0,2018-09-09 20:00:00,24.78,20.00,6,-1.0,0.00,0
0,2018-09-09 21:00:00,24.12,20.00,6,-1.0,0.00,0
0,2018-09-09 22:00:00,23.91,20.00,6,-1.0,0.00,0
0,2018-09-09 23:00:00,23.48,20.00,5,-1.0,0.00,0
0,2018-09-10 00:00:00,48.27,20.00,6,-1.0,0.00,0
0,2018-09-10 01:00:00,20.98,20.00,5,-1.0,0.00,0
0,2018-09-10 02:00:00,20.96,20.00,5,-1.0,0.00,0
0,2018-09-10 03:00:00,28.70,20.00,6,-1.0,0.00,0
0,2018-09-10 04:00:00,20.75,20.00,5,-1.0,0.00,0
0,2018-09-10 05:00:00,20.68,20.00,5,-1.0,0.00,0
0,2018-09-10 06:00:00,20.92,20.00,5,-1.0,0.00,0
0,2018-09-10 07:00:00,21.08,20.00,5,-1.0,0.00,0
0,2018-09-10 08:00:00,22.32,20.00,5,-1.0,0.00,0
0,2018-09-10 09:00:00,21.24,20.00,5,-1.0,0.00,0
0,2018-09-10 10:00:00,22.04,20.00,5,-1.0,0.00,0
0,2018-09-10 11:00:00,20.41,20.00,5,-1.0,0.00,0
0,2018-09-10 12:00:00,21.94,20.00,5,-1.0,0.00,0
0,2018-09-10 13:00:00,21.98,20.00,5,-1.0,0.00,0
0,2018-09-10 14:00:00,23.26,20.00,5,-1.0,0.00,0
0,2018-09-10 15:00:00,23.87,20.00,5,-1.0,0.00,0
0,2018-09-10 16:00:00,24.63,20.00,6,-1.0,0.00,0
0,2018-09-10 17:00:00,24.88,20.00,6,-1.0,0.00,0
0,2018-09-10 18:00:00,24.38,20.00,6,-1.0,0.00,0
0,2018-09-10 19:00:00,23.88,20.00,6,-1.0,0.00,0
